,Date,AAPL,MSFT,V,BA,GE
Date,1.0,-0.06090463780234847,-0.05464887773509199,0.0819336170723269,0.05844498274604068,0.1890308072671033
AAPL,-0.06090463780234847,1.0,0.6907309773498458,0.5446818591524561,0.4168753076977,0.2559677234126624
MSFT,-0.05464887773509199,0.6907309773498458,1.0,0.40330177052276334,0.34744858076863344,0.2716428312873007
V,0.0819336170723269,0.5446818591524561,0.40330177052276334,1.0,0.5342359361865926,0.5011907118546395
BA,0.05844498274604068,0.4168753076977,0.34744858076863344,0.5342359361865926,1.0,0.6013062527974519
GE,0.1890308072671033,0.2559677234126624,0.2716428312873007,0.5011907118546395,0.6013062527974519,1.0
