,Mean,Standard Deviation
Date,2022-07-01 20:20:20.338983168,522 days 17:23:44.241910088
AAPL,0.024160197215898384,0.08418821656857277
MSFT,0.018356837607666477,0.06459096217183302
VOO,0.013048768302450282,0.05377219737343869
GME,0.32579116323162793,2.129816596634479
