,Mean,Standard Deviation
Date,2022-06-30 22:13:27.637231616,527 days 00:31:17.526216240
AAPL,0.0012058767799248192,0.01996362967151013
MSFT,0.0010072048442355355,0.01921669335456305
VOO,0.000632644433761234,0.013417229913439273
