,Mean,Standard Deviation
Date,2022-06-30 22:13:27.637231616,527 days 00:31:17.526216240
AAPL,0.00120587700408898,0.019963636596599724
VOO,0.000632644457690048,0.013417231718903744
MSFT,0.0010072049831905214,0.019216708908200826
GME,0.006646309465565715,0.09974946455499316
