,Mean,Standard Deviation
Date,2024-07-01 13:05:27.272727296,101 days 04:31:09.406204367
AAPL,0.030665101686692342,0.05514751968279298
MSFT,0.0078045978884827664,0.05249556758975895
VOO,0.01978679921319844,0.030376508891769443
