,Mean,Standard Deviation
Date,2022-07-01 20:20:20.338983168,522 days 17:23:44.241910088
AAPL,0.02416019959585311,0.08418822586799798
MSFT,0.018356842219677635,0.06459098535502365
VOO,0.01304876861281734,0.053772202921658484
