,Mean,Standard Deviation
Date,2022-07-01 20:20:20.338983168,522 days 17:23:44.241910088
AAPL,0.024402559584256838,0.084324881021347
MSFT,0.018584989156204355,0.06456039220992932
VOO,0.013235868238109107,0.053676532357541405
