,Mean,Standard Deviation
Date,2022-06-30 22:13:27.637231616,527 days 00:31:17.526216240
AAPL,0.001205876540496015,0.019963621731381376
MSFT,0.001007204844465873,0.01921671016920059
GME,0.006646309465565715,0.09974946455499316
V,0.0005924837596631607,0.017572122223765925
