,Mean,Standard Deviation
Date,2022-07-01 20:20:20.338983168,522 days 17:23:44.241910088
AAPL,0.024402562799464084,0.08432487916326298
GM,0.015742697726535124,0.1170705103334302
ET,0.02685741701094674,0.1545124309654231
GS,0.02126965801601873,0.09120817405155844
