,Mean,Standard Deviation
Date,2022-06-30 22:13:27.637231616,527 days 00:31:17.526216240
AAPL,0.001205876872859121,0.019963630120200422
VOO,0.0006326446231786452,0.013417230536298118
MSFT,0.001007204996513757,0.019216709690121084
