,Mean,Standard Deviation
Date,2022-08-01 06:54:54.915254272,522 days 18:43:15.212077632
AAPL,0.02421286763428168,0.08383731155853542
VOO,0.014949334574939728,0.05248771402967444
MSFT,0.02006898608755849,0.06421850032710676
