,Mean,Standard Deviation
Date,2022-07-01 20:20:20.338983168,522 days 17:23:44.241910088
AAPL,0.024402562044117494,0.08432486773417998
MSFT,0.01858498516830346,0.06456040669079564
V,0.01086950109157108,0.06866177185910864
GME,0.3259020197014178,2.1298049120557825
