,Mean,Standard Deviation
Date,2022-07-01 20:20:20.338983168,522 days 17:23:44.241910088
AAPL,0.02440256333118059,0.08432490747846723
MSFT,0.018584983862811346,0.0645603839375492
V,0.010869504612192262,0.06866182668197338
BA,0.0005270455918343461,0.1400923407133011
GE,0.023689223760711146,0.11229416663697124
