,Mean,Standard Deviation
Date,2022-07-01 20:20:20.338983168,522 days 17:23:44.241910088
AAPL,0.024160200874508802,0.08418824311922772
MSFT,0.018356840226243155,0.06459100596515945
VOO,0.013048766839353595,0.053772206206833414
