,Date,AAPL,GM,ET,GS
Date,1.0,-0.060904684832438875,0.011971575597913276,0.041396768625440866,0.06202439269090638
AAPL,-0.060904684832438875,1.0,0.4072863499843677,0.2689044249195789,0.4355595135118415
GM,0.011971575597913276,0.4072863499843677,1.0,0.42041456832707313,0.5897191585937624
ET,0.041396768625440866,0.2689044249195789,0.42041456832707313,1.0,0.6119151809685415
GS,0.06202439269090638,0.4355595135118415,0.5897191585937624,0.6119151809685415,1.0
