index_x,Date,Close,index_y,Dividend,Adj Price
0,2020-01-01,138.30999755859375,,0.0,138.30999755859375
1,2020-02-01,117.6500015258789,,0.0,117.6500015258789
2,2020-03-01,96.5999984741211,,0.0,96.5999984741211
3,2020-04-01,108.1500015258789,70.0,0.0,108.1500015258789
4,2020-05-01,117.30000305175781,91.0,0.0,117.30000305175781
5,2020-06-01,111.51000213623047,111.0,0.0,111.51000213623047
6,2020-07-01,116.94000244140625,133.0,0.0,116.94000244140625
7,2020-08-01,131.8699951171875,,0.0,131.8699951171875
8,2020-09-01,124.08000183105469,176.0,0.0,124.08000183105469
9,2020-10-01,121.25,197.0,0.0,121.25
10,2020-11-01,148.00999450683594,,0.0,148.00999450683594
11,2020-12-01,181.17999267578125,239.0,0.0,181.17999267578125
12,2021-01-01,168.1699981689453,,0.0,168.1699981689453
13,2021-02-01,189.0399932861328,280.0,0.0,189.0399932861328
14,2021-03-01,184.52000427246094,299.0,0.0,184.52000427246094
15,2021-04-01,186.02000427246094,322.0,0.0,186.02000427246094
16,2021-05-01,178.64999389648438,,0.0,178.64999389648438
17,2021-06-01,175.77000427246094,363.0,0.0,175.77000427246094
18,2021-07-01,176.02000427246094,385.0,0.0,176.02000427246094
19,2021-08-01,181.3000030517578,,0.0,181.3000030517578
20,2021-09-01,169.1699981689453,428.0,0.0,169.1699981689453
21,2021-10-01,169.07000732421875,449.0,0.0,169.07000732421875
22,2021-11-01,144.89999389648438,470.0,0.0,144.89999389648438
23,2021-12-01,154.88999938964844,491.0,0.0,154.88999938964844
24,2022-01-01,142.97000122070312,,0.0,142.97000122070312
25,2022-02-01,148.4600067138672,533.0,0.0,148.4600067138672
26,2022-03-01,137.16000366210938,552.0,0.0,137.16000366210938
27,2022-04-01,111.62999725341797,575.0,0.0,111.62999725341797
28,2022-05-01,110.44000244140625,,0.0,110.44000244140625
29,2022-06-01,94.4000015258789,616.0,0.0,94.4000015258789
30,2022-07-01,106.0999984741211,637.0,0.0,106.0999984741211
31,2022-08-01,112.08000183105469,657.0,0.0,112.08000183105469
32,2022-09-01,94.33000183105469,680.0,0.0,94.33000183105469
33,2022-10-01,106.54000091552734,,0.0,106.54000091552734
34,2022-11-01,97.87000274658203,722.0,0.0,97.87000274658203
35,2022-12-01,86.87999725341797,743.0,0.0,86.87999725341797
36,2023-01-01,108.48999786376953,,0.0,108.48999786376953
37,2023-02-01,99.61000061035156,784.0,0.0,99.61000061035156
38,2023-03-01,100.12999725341797,803.0,0.0,100.12999725341797
39,2023-04-01,102.5,,0.0,102.5
40,2023-05-01,87.95999908447266,845.0,0.0,87.95999908447266
41,2023-06-01,89.27999877929688,867.0,0.0,89.27999877929688
42,2023-07-01,88.88999938964844,,0.0,88.88999938964844
43,2023-08-01,83.68000030517578,908.0,0.0,83.68000030517578
44,2023-09-01,81.05000305175781,931.0,0.0,81.05000305175781
45,2023-10-01,81.58999633789062,,0.0,81.58999633789062
46,2023-11-01,92.69000244140625,973.0,0.0,92.69000244140625
47,2023-12-01,90.29000091552734,994.0,0.0,90.29000091552734
48,2024-01-01,96.05000305175781,,0.0,96.05000305175781
49,2024-02-01,111.58000183105469,1035.0,0.0,111.58000183105469
50,2024-03-01,122.36000061035156,1055.0,0.0,122.36000061035156
51,2024-04-01,111.0999984741211,1075.0,0.0,111.0999984741211
52,2024-05-01,103.91000366210938,1097.0,0.0,103.91000366210938
53,2024-06-01,99.29000091552734,,0.0,99.29000091552734
54,2024-07-01,93.69000244140625,1138.0,0.0,93.69000244140625
55,2024-08-01,90.37999725341797,1160.0,0.0,90.37999725341797
56,2024-09-01,96.19000244140625,,0.0,96.19000244140625
57,2024-10-01,96.19999694824219,1202.0,0.0,96.19999694824219
58,2024-11-01,117.47000122070312,1225.0,0.0,117.47000122070312
59,2024-12-01,111.87000274658203,,0.0,111.87000274658203
