Date,Close
,VOO
2019-12-24,295.1600036621094
2019-12-26,296.6700134277344
2019-12-27,296.6700134277344
2019-12-30,295.0400085449219
2019-12-31,295.79998779296875
2020-01-02,298.4200134277344
2020-01-03,296.239990234375
2020-01-06,297.3500061035156
2020-01-07,296.5299987792969
2020-01-08,298.05999755859375
2020-01-09,300.1199951171875
2020-01-10,299.260009765625
2020-01-13,301.239990234375
2020-01-14,300.8399963378906
2020-01-15,301.510009765625
2020-01-16,304.0299987792969
2020-01-17,305.05999755859375
2020-01-21,304.42999267578125
2020-01-22,304.510009765625
2020-01-23,304.80999755859375
2020-01-24,302.0299987792969
2020-01-27,297.2300109863281
2020-01-28,300.45001220703125
2020-01-29,300.1499938964844
2020-01-30,301.0899963378906
2020-01-31,295.69000244140625
2020-02-03,297.8399963378906
2020-02-04,302.42999267578125
2020-02-05,305.8500061035156
2020-02-06,306.8900146484375
2020-02-07,305.3299865722656
2020-02-10,307.5199890136719
2020-02-11,308.0799865722656
2020-02-12,310.05999755859375
2020-02-13,309.760009765625
2020-02-14,310.2799987792969
2020-02-18,309.42999267578125
2020-02-19,310.9200134277344
2020-02-20,309.70001220703125
2020-02-21,306.489990234375
2020-02-24,296.239990234375
2020-02-25,287.3399963378906
2020-02-26,286.07000732421875
2020-02-27,273.3900146484375
2020-02-28,271.739990234375
2020-03-02,283.8699951171875
2020-03-03,276.0400085449219
2020-03-04,287.4800109863281
2020-03-05,277.8500061035156
2020-03-06,273.19000244140625
2020-03-09,252.11000061035156
2020-03-10,263.80999755859375
2020-03-11,250.72999572753906
2020-03-12,226.47999572753906
2020-03-13,247.63999938964844
2020-03-16,218.57000732421875
2020-03-17,232.8800048828125
2020-03-18,220.14999389648438
2020-03-19,220.33999633789062
2020-03-20,210.74000549316406
2020-03-23,204.27000427246094
2020-03-24,223.75
2020-03-25,226.6199951171875
2020-03-26,240.24000549316406
2020-03-27,232.86000061035156
2020-03-30,240.38999938964844
2020-03-31,236.82000732421875
2020-04-01,226.14999389648438
2020-04-02,231.44000244140625
2020-04-03,228.02000427246094
2020-04-06,243.52999877929688
2020-04-07,243.66000366210938
2020-04-08,251.92999267578125
2020-04-09,255.6699981689453
2020-04-13,253.19000244140625
2020-04-14,260.9200134277344
2020-04-15,255.24000549316406
2020-04-16,256.5299987792969
2020-04-17,263.6099853515625
2020-04-20,258.8599853515625
2020-04-21,250.9499969482422
2020-04-22,256.4700012207031
2020-04-23,256.4200134277344
2020-04-24,260.1400146484375
2020-04-27,263.8999938964844
2020-04-28,262.67999267578125
2020-04-29,269.45001220703125
2020-04-30,267.1000061035156
2020-05-01,259.82000732421875
2020-05-04,260.6400146484375
2020-05-05,263.0400085449219
2020-05-06,261.2699890136719
2020-05-07,264.3599853515625
2020-05-08,268.7799987792969
2020-05-11,268.82000732421875
2020-05-12,263.4100036621094
2020-05-13,258.739990234375
2020-05-14,261.8599853515625
2020-05-15,263.0400085449219
2020-05-18,271.0799865722656
2020-05-19,268.5199890136719
2020-05-20,272.8999938964844
2020-05-21,270.94000244140625
2020-05-22,271.54998779296875
2020-05-26,275.0400085449219
2020-05-27,279.04998779296875
2020-05-28,278.5
2020-05-29,279.75
2020-06-01,280.9700012207031
2020-06-02,283.2799987792969
2020-06-03,287.0199890136719
2020-06-04,286.2900085449219
2020-06-05,293.6099853515625
2020-06-08,297.1700134277344
2020-06-09,295.05999755859375
2020-06-10,293.2200012207031
2020-06-11,276.32000732421875
2020-06-12,279.6499938964844
2020-06-15,282.20001220703125
2020-06-16,287.7200012207031
2020-06-17,286.3999938964844
2020-06-18,286.6600036621094
2020-06-19,284.9700012207031
2020-06-22,286.8599853515625
2020-06-23,288.1600036621094
