Date,Adj Close,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
2024-01-01,365.0204162597656,367.75,375.8999938964844,366.5,373.8599853515625,90230600
2024-01-08,385.5866394042969,388.4700012207031,390.67999267578125,369.010009765625,369.29998779296875,118974700
2024-01-15,395.7109069824219,398.6700134277344,398.6700134277344,384.80999755859375,393.6600036621094,102100500
2024-01-22,400.931884765625,403.92999267578125,407.010009765625,393.5899963378906,400.0199890136719,111234300
2024-01-29,408.1677551269531,411.2200012207031,415.32000732421875,397.2099914550781,406.05999755859375,164761600
2024-02-05,417.4284973144531,420.54998779296875,420.82000732421875,402.9100036621094,409.8999938964844,109333500
2024-02-12,401.0608825683594,404.05999755859375,420.739990234375,403.3900146484375,420.55999755859375,113535600
2024-02-19,408.0474853515625,410.3399963378906,415.8599853515625,397.2200012207031,403.239990234375,86244800
2024-02-26,413.17864990234375,415.5,415.8699951171875,403.8500061035156,411.4599914550781,93960000
2024-03-04,403.95050048828125,406.2200012207031,417.3500061035156,398.3900146484375,413.44000244140625,103549500
2024-03-11,414.0935363769531,416.4200134277344,427.82000732421875,401.260009765625,403.760009765625,134900800
2024-03-18,426.3446960449219,428.739990234375,430.82000732421875,413.7799987792969,414.25,96736700
2024-03-25,418.3695068359375,420.7200012207031,427.4100036621094,419.010009765625,425.239990234375,73362300
2024-04-01,423.1426696777344,425.5199890136719,428.6700134277344,417.57000732421875,423.95001220703125,86645500
2024-04-08,419.54290771484375,421.8999938964844,429.3699951171875,419.70001220703125,425.1700134277344,80199800
2024-04-15,396.8901672363281,399.1199951171875,426.82000732421875,397.7699890136719,426.6000061035156,104201000
2024-04-22,404.0499572753906,406.32000732421875,413.0,388.0299987792969,400.0799865722656,121367900
2024-04-29,404.3880310058594,406.6600036621094,407.1499938964844,389.1700134277344,405.25,107082100
2024-05-06,412.4228820800781,414.739990234375,415.3800048828125,406.3699951171875,408.760009765625,76899100
2024-05-13,417.8623046875,420.2099914550781,425.4200134277344,410.82000732421875,418.010009765625,85671300
2024-05-20,428.5283203125,430.1600036621094,433.6000061035156,419.989990234375,420.2099914550781,84856600
2024-05-27,413.5553283691406,415.1300048828125,430.94000244140625,404.510009765625,429.6300048828125,107655200
2024-06-03,422.24224853515625,423.8500061035156,426.2799987792969,408.9200134277344,415.5299987792969,77304600
2024-06-10,440.8912353515625,442.57000732421875,443.3999938964844,423.8900146484375,424.70001220703125,80462900
2024-06-17,448.0738830566406,449.7799987792969,450.94000244140625,440.7200012207031,442.5899963378906,92266100
2024-06-24,445.254638671875,446.95001220703125,456.1700134277344,446.4100036621094,449.79998779296875,92336800
2024-07-01,465.78643798828125,467.55999755859375,468.3500061035156,445.6600036621094,448.6600036621094,57575700
2024-07-08,451.8295593261719,453.54998779296875,467.70001220703125,450.6499938964844,466.54998779296875,87801100
2024-07-15,435.4519348144531,437.1099853515625,457.260009765625,432.0,453.29998779296875,95118300
2024-07-22,423.6568298339844,425.2699890136719,448.3900146484375,417.2699890136719,441.7900085449219,109249300
2024-07-29,406.9405212402344,408.489990234375,432.1499938964844,404.3399963378906,431.5799865722656,150439100
2024-08-05,404.4798583984375,406.0199890136719,410.0799865722656,385.5799865722656,389.1700134277344,125786300
2024-08-12,416.88262939453125,418.4700012207031,421.3399963378906,404.239990234375,407.05999755859375,97971900
2024-08-19,415.9573974609375,416.7900085449219,426.7900085449219,412.0899963378906,418.9599914550781,85544600
2024-08-26,416.30670166015625,417.1400146484375,422.04998779296875,407.30999755859375,416.3699951171875,82881900
2024-09-02,400.8975524902344,401.70001220703125,419.8800048828125,400.79998779296875,417.9100036621094,69254400
2024-09-09,429.7298278808594,430.5899963378906,431.8299865722656,402.1499938964844,407.239990234375,87449700
2024-09-16,434.4004821777344,435.2699890136719,441.8500061035156,428.2200012207031,430.6000061035156,128480600
2024-09-23,427.1649475097656,428.0199890136719,436.4599914550781,426.1000061035156,434.2799987792969,74929200
2024-09-30,415.2288513183594,416.05999755859375,430.4200134277344,414.2900085449219,428.2099914550781,85338600
2024-10-07,415.48834228515625,416.32000732421875,420.3800048828125,408.1700134277344,416.0,83116700
2024-10-14,417.3246765136719,418.1600036621094,424.0400085449219,410.4800109863281,417.7699890136719,83027500
2024-10-21,427.2947082519531,428.1499938964844,432.5199890136719,413.75,416.1199951171875,89823400
2024-10-28,409.55023193359375,410.3699951171875,438.5,406.29998779296875,431.6600036621094,140477000
2024-11-04,421.6959228515625,422.5400085449219,426.8500061035156,405.57000732421875,409.79998779296875,100773300
2024-11-11,414.1709899902344,415.0,429.3299865722656,413.6400146484375,422.5199890136719,123901200
2024-11-18,416.1669921875,417.0,419.7799987792969,410.2900085449219,414.8699951171875,107662000
2024-11-25,423.4599914550781,423.4599914550781,429.0400085449219,414.8500061035156,418.3800048828125,85754300
2024-12-02,443.57000732421875,443.57000732421875,446.1000061035156,421.30999755859375,421.57000732421875,105037400
2024-12-09,447.2699890136719,447.2699890136719,456.1600036621094,440.5,442.6000061035156,97826700
2024-12-16,451.5899963378906,451.5899963378906,452.17999267578125,445.2799987792969,447.2699890136719,23586700
