index_x,Date,Close,index_y,Dividend,Adj Price
0,2020-01-01,75.01614379882812,,0.0,75.01614379882812
1,2020-02-01,66.25442504882812,,0.0,66.25442504882812
2,2020-03-01,61.7786979675293,,0.0,61.7786979675293
3,2020-04-01,71.37749481201172,,0.0,71.37749481201172
4,2020-05-01,77.2422103881836,,0.0,77.2422103881836
5,2020-06-01,88.8665542602539,,0.0,88.8665542602539
6,2020-07-01,103.54122924804688,,0.0,103.54122924804688
7,2020-08-01,125.73838806152344,,0.0,125.73838806152344
8,2020-09-01,113.05033874511719,,0.0,113.05033874511719
9,2020-10-01,106.26597595214844,,0.0,106.26597595214844
10,2020-11-01,116.21314239501953,,0.0,116.21314239501953
11,2020-12-01,129.75157165527344,,0.0,129.75157165527344
12,2021-01-01,129.03778076171875,,0.0,129.03778076171875
13,2021-02-01,118.57469940185547,,0.0,118.57469940185547
14,2021-03-01,119.62348175048828,,0.0,119.62348175048828
15,2021-04-01,128.74093627929688,,0.0,128.74093627929688
16,2021-05-01,122.0325927734375,,0.0,122.0325927734375
17,2021-06-01,134.35498046875,,0.0,134.35498046875
18,2021-07-01,143.08567810058594,,0.0,143.08567810058594
19,2021-08-01,148.94215393066406,,0.0,148.94215393066406
20,2021-09-01,139.0166015625,,0.0,139.0166015625
21,2021-10-01,147.17092895507812,,0.0,147.17092895507812
22,2021-11-01,162.3988800048828,,0.0,162.3988800048828
23,2021-12-01,174.70814514160156,,0.0,174.70814514160156
24,2022-01-01,171.9630889892578,,0.0,171.9630889892578
25,2022-02-01,162.4588165283203,,0.0,162.4588165283203
26,2022-03-01,172.01475524902344,,0.0,172.01475524902344
27,2022-04-01,155.30677795410156,,0.0,155.30677795410156
28,2022-05-01,146.6277618408203,,0.0,146.6277618408203
29,2022-06-01,134.8857879638672,,0.0,134.8857879638672
30,2022-07-01,160.32980346679688,,0.0,160.32980346679688
31,2022-08-01,155.1107635498047,,0.0,155.1107635498047
32,2022-09-01,136.53530883789062,,0.0,136.53530883789062
33,2022-10-01,151.4929656982422,,0.0,151.4929656982422
34,2022-11-01,146.24693298339844,,0.0,146.24693298339844
35,2022-12-01,128.57789611816406,,0.0,128.57789611816406
36,2023-01-01,142.7884521484375,,0.0,142.7884521484375
37,2023-02-01,145.87599182128906,,0.0,145.87599182128906
38,2023-03-01,163.43312072753906,,0.0,163.43312072753906
39,2023-04-01,168.1706085205078,,0.0,168.1706085205078
40,2023-05-01,175.6732635498047,,0.0,175.6732635498047
41,2023-06-01,192.5104522705078,,0.0,192.5104522705078
42,2023-07-01,194.97177124023438,,0.0,194.97177124023438
43,2023-08-01,186.45632934570312,,0.0,186.45632934570312
44,2023-09-01,170.15115356445312,,0.0,170.15115356445312
45,2023-10-01,169.71388244628906,,0.0,169.71388244628906
46,2023-11-01,188.77525329589844,,0.0,188.77525329589844
47,2023-12-01,191.5913848876953,,0.0,191.5913848876953
48,2024-01-01,183.5010223388672,,0.0,183.5010223388672
49,2024-02-01,179.8688201904297,,0.0,179.8688201904297
50,2024-03-01,170.86175537109375,,0.0,170.86175537109375
51,2024-04-01,169.7158966064453,,0.0,169.7158966064453
52,2024-05-01,191.556884765625,,0.0,191.556884765625
53,2024-06-01,210.14527893066406,,0.0,210.14527893066406
54,2024-07-01,221.5794677734375,,0.0,221.5794677734375
55,2024-08-01,228.48387145996094,,0.0,228.48387145996094
56,2024-09-01,232.7439422607422,,0.0,232.7439422607422
57,2024-10-01,225.66172790527344,,0.0,225.66172790527344
58,2024-11-01,237.06918334960938,,0.0,237.06918334960938
59,2024-12-01,258.20001220703125,,0.0,258.20001220703125
