index_x,Date,Close,index_y,Dividend,Adj Price
0,2019-12-30,272.98809814453125,0,0.0,272.98809814453125
1,2019-12-31,273.69122314453125,1,0.0,273.69122314453125
2,2020-01-02,276.11541748046875,2,0.0,276.11541748046875
3,2020-01-03,274.098388671875,3,0.0,274.098388671875
4,2020-01-06,275.12542724609375,4,0.0,275.12542724609375
5,2020-01-07,274.36669921875,5,0.0,274.36669921875
6,2020-01-08,275.7823181152344,6,0.0,275.7823181152344
7,2020-01-09,277.6883544921875,7,0.0,277.6883544921875
8,2020-01-10,276.8926086425781,8,0.0,276.8926086425781
9,2020-01-13,278.7246398925781,9,0.0,278.7246398925781
10,2020-01-14,278.3545227050781,10,0.0,278.3545227050781
11,2020-01-15,278.97454833984375,11,0.0,278.97454833984375
12,2020-01-16,281.30609130859375,12,0.0,281.30609130859375
13,2020-01-17,282.2591552734375,13,0.0,282.2591552734375
14,2020-01-21,281.6762390136719,14,0.0,281.6762390136719
15,2020-01-22,281.7502746582031,15,0.0,281.7502746582031
16,2020-01-23,282.0278015136719,16,0.0,282.0278015136719
17,2020-01-24,279.45562744140625,17,0.0,279.45562744140625
18,2020-01-27,275.0144348144531,18,0.0,275.0144348144531
19,2020-01-28,277.99371337890625,19,0.0,277.99371337890625
20,2020-01-29,277.7161560058594,20,0.0,277.7161560058594
21,2020-01-30,278.58587646484375,21,0.0,278.58587646484375
22,2020-01-31,273.5894775390625,22,0.0,273.5894775390625
23,2020-02-03,275.5788269042969,23,0.0,275.5788269042969
24,2020-02-04,279.8256530761719,24,0.0,279.8256530761719
25,2020-02-05,282.9901428222656,25,0.0,282.9901428222656
26,2020-02-06,283.952392578125,26,0.0,283.952392578125
27,2020-02-07,282.5089111328125,27,0.0,282.5089111328125
28,2020-02-10,284.53533935546875,28,0.0,284.53533935546875
29,2020-02-11,285.05340576171875,29,0.0,285.05340576171875
30,2020-02-12,286.88555908203125,30,0.0,286.88555908203125
31,2020-02-13,286.60784912109375,31,0.0,286.60784912109375
32,2020-02-14,287.08892822265625,32,0.0,287.08892822265625
33,2020-02-18,286.302490234375,33,0.0,286.302490234375
34,2020-02-19,287.6811828613281,34,0.0,287.6811828613281
35,2020-02-20,286.5523376464844,35,0.0,286.5523376464844
36,2020-02-21,283.582275390625,36,0.0,283.582275390625
37,2020-02-24,274.098388671875,37,0.0,274.098388671875
38,2020-02-25,265.86358642578125,38,0.0,265.86358642578125
39,2020-02-26,264.6884765625,39,0.0,264.6884765625
40,2020-02-27,252.95628356933594,40,0.0,252.95628356933594
41,2020-02-28,251.4295654296875,41,0.0,251.4295654296875
42,2020-03-02,262.65289306640625,42,0.0,262.65289306640625
43,2020-03-03,255.40818786621094,43,0.0,255.40818786621094
44,2020-03-04,265.9930725097656,44,0.0,265.9930725097656
45,2020-03-05,257.0829162597656,45,0.0,257.0829162597656
46,2020-03-06,252.77120971679688,46,0.0,252.77120971679688
47,2020-03-09,233.26673889160156,47,0.0,233.26673889160156
48,2020-03-10,245.23812866210938,48,1.178,246.41612866210937
49,2020-03-11,233.0789794921875,49,0.0,233.0789794921875
50,2020-03-12,210.53614807128906,50,0.0,210.53614807128906
51,2020-03-13,230.2064971923828,51,0.0,230.2064971923828
52,2020-03-16,203.18296813964844,52,0.0,203.18296813964844
53,2020-03-17,216.485595703125,53,0.0,216.485595703125
54,2020-03-18,204.6517791748047,54,0.0,204.6517791748047
55,2020-03-19,204.828369140625,55,0.0,204.828369140625
56,2020-03-20,195.90419006347656,56,0.0,195.90419006347656
57,2020-03-23,189.88967895507812,57,0.0,189.88967895507812
58,2020-03-24,207.9983367919922,58,0.0,207.9983367919922
59,2020-03-25,210.666259765625,59,0.0,210.666259765625
60,2020-03-26,223.32745361328125,60,0.0,223.32745361328125
61,2020-03-27,216.46697998046875,61,0.0,216.46697998046875
62,2020-03-30,223.4668731689453,62,0.0,223.4668731689453
63,2020-03-31,220.1482391357422,63,0.0,220.1482391357422
64,2020-04-01,210.2293701171875,64,0.0,210.2293701171875
65,2020-04-02,215.14695739746094,65,0.0,215.14695739746094
66,2020-04-03,211.96771240234375,66,0.0,211.96771240234375
67,2020-04-06,226.38580322265625,67,0.0,226.38580322265625
68,2020-04-07,226.5067138671875,68,0.0,226.5067138671875
69,2020-04-08,234.19448852539062,69,0.0,234.19448852539062
70,2020-04-09,237.67117309570312,70,0.0,237.67117309570312
71,2020-04-13,235.3657989501953,71,0.0,235.3657989501953
72,2020-04-14,242.5516357421875,72,0.0,242.5516357421875
73,2020-04-15,237.27145385742188,73,0.0,237.27145385742188
74,2020-04-16,238.47064208984375,74,0.0,238.47064208984375
75,2020-04-17,245.05221557617188,75,0.0,245.05221557617188
76,2020-04-20,240.63658142089844,76,0.0,240.63658142089844
77,2020-04-21,233.28350830078125,77,0.0,233.28350830078125
78,2020-04-22,238.41490173339844,78,0.0,238.41490173339844
79,2020-04-23,238.36842346191406,79,0.0,238.36842346191406
80,2020-04-24,241.8265380859375,80,0.0,241.8265380859375
81,2020-04-27,245.32177734375,81,0.0,245.32177734375
82,2020-04-28,244.1876983642578,82,0.0,244.1876983642578
83,2020-04-29,250.48109436035156,83,0.0,250.48109436035156
84,2020-04-30,248.29656982421875,84,0.0,248.29656982421875
85,2020-05-01,241.52903747558594,85,0.0,241.52903747558594
86,2020-05-04,242.29132080078125,86,0.0,242.29132080078125
87,2020-05-05,244.52239990234375,87,0.0,244.52239990234375
88,2020-05-06,242.876953125,88,0.0,242.876953125
89,2020-05-07,245.7493896484375,89,0.0,245.7493896484375
90,2020-05-08,249.85826110839844,90,0.0,249.85826110839844
91,2020-05-11,249.89541625976562,91,0.0,249.89541625976562
92,2020-05-12,244.8662872314453,92,0.0,244.8662872314453
93,2020-05-13,240.52503967285156,93,0.0,240.52503967285156
94,2020-05-14,243.42539978027344,94,0.0,243.42539978027344
95,2020-05-15,244.52239990234375,95,0.0,244.52239990234375
96,2020-05-18,251.996337890625,96,0.0,251.996337890625
97,2020-05-19,249.61656188964844,97,0.0,249.61656188964844
98,2020-05-20,253.688232421875,98,0.0,253.688232421875
99,2020-05-21,251.8662567138672,99,0.0,251.8662567138672
100,2020-05-22,252.43325805664062,100,0.0,252.43325805664062
101,2020-05-26,255.67759704589844,101,0.0,255.67759704589844
102,2020-05-27,259.4052429199219,102,0.0,259.4052429199219
103,2020-05-28,258.89404296875,103,0.0,258.89404296875
104,2020-05-29,260.0560302734375,104,0.0,260.0560302734375
105,2020-06-01,261.19012451171875,105,0.0,261.19012451171875
106,2020-06-02,263.3375244140625,106,0.0,263.3375244140625
107,2020-06-03,266.8141784667969,107,0.0,266.8141784667969
108,2020-06-04,266.1356506347656,108,0.0,266.1356506347656
109,2020-06-05,272.9402770996094,109,0.0,272.9402770996094
110,2020-06-08,276.2496643066406,110,0.0,276.2496643066406
111,2020-06-09,274.2881164550781,111,0.0,274.2881164550781
112,2020-06-10,272.5777587890625,112,0.0,272.5777587890625
113,2020-06-11,256.86749267578125,113,0.0,256.86749267578125
114,2020-06-12,259.9630126953125,114,0.0,259.9630126953125
115,2020-06-15,262.33355712890625,115,0.0,262.33355712890625
116,2020-06-16,267.4649353027344,116,0.0,267.4649353027344
117,2020-06-17,266.2378234863281,117,0.0,266.2378234863281
118,2020-06-18,266.47955322265625,118,0.0,266.47955322265625
119,2020-06-19,264.90850830078125,119,0.0,264.90850830078125
120,2020-06-22,266.6653747558594,120,0.0,266.6653747558594
121,2020-06-23,267.87396240234375,121,0.0,267.87396240234375
122,2020-06-24,261.02276611328125,122,0.0,261.02276611328125
123,2020-06-25,263.78375244140625,123,0.0,263.78375244140625
124,2020-06-26,257.6017761230469,124,0.0,257.6017761230469
125,2020-06-29,261.361083984375,125,1.433,262.794083984375
126,2020-06-30,264.84649658203125,126,0.0,264.84649658203125
127,2020-07-01,266.6593017578125,127,0.0,266.6593017578125
128,2020-07-02,268.0048828125,128,0.0,268.0048828125
129,2020-07-06,272.16314697265625,129,0.0,272.16314697265625
130,2020-07-07,269.34112548828125,130,0.0,269.34112548828125
131,2020-07-08,271.3407897949219,131,0.0,271.3407897949219
132,2020-07-09,269.9578857421875,132,0.0,269.9578857421875
133,2020-07-10,272.6677551269531,133,0.0,272.6677551269531
134,2020-07-13,270.2007751464844,134,0.0,270.2007751464844
135,2020-07-14,273.8170471191406,135,0.0,273.8170471191406
136,2020-07-15,276.2466125488281,136,0.0,276.2466125488281
137,2020-07-16,275.4429931640625,137,0.0,275.4429931640625
138,2020-07-17,276.1718444824219,138,0.0,276.1718444824219
139,2020-07-20,278.47052001953125,139,0.0,278.47052001953125
140,2020-07-21,279.0499267578125,140,0.0,279.0499267578125
141,2020-07-22,280.6383972167969,141,0.0,280.6383972167969
