Date,Returns
,
2019-12-31,0.0006983102649487094
2020-01-02,0.0185161347836178
2020-01-03,-0.012451807727515307
2020-01-06,0.002584796055355554
2020-01-07,-0.009117669525551375
2020-01-08,0.01592837988052409
2020-01-09,0.01249283207126739
2020-01-10,-0.004626933929905874
2020-01-13,0.012024313287581023
2020-01-14,-0.0070432952086812994
2020-01-15,0.006476364916172761
2020-01-16,0.018323323368737654
2020-01-17,0.005596771819879276
2020-01-21,-0.003590585757594078
2020-01-22,-0.004805018102726377
2020-01-23,0.006155809518209265
2020-01-24,-0.010076841875871545
2020-01-27,-0.016723240427728325
2020-01-28,0.019595775745877564
2020-01-29,0.015592793759880319
2020-01-30,0.028207669097121357
2020-01-31,-0.014758584847764378
2020-02-03,0.024378756045587258
2020-02-04,0.03291646413012406
2020-02-05,-0.0012212194480788474
2020-02-06,0.02073363466910738
2020-02-07,0.001415932119186003
2020-02-10,0.02615697074201062
2020-02-11,-0.022575572735876404
2020-02-12,0.0014640962358629661
2020-02-13,-0.0054139168261707615
2020-02-14,0.008927119800963279
2020-02-18,0.010143036545957829
2020-02-19,0.0029989294943317812
2020-02-20,-0.015271133086282251
2020-02-21,-0.031612814630729846
2020-02-24,-0.04311536935772986
2020-02-25,-0.016501828323082668
2020-02-26,0.01249473206187357
2020-02-27,-0.07045911083355938
2020-02-28,0.024213003848279513
2020-03-02,0.0665392082965286
2020-03-03,-0.04791936288356424
2020-03-04,0.036714915325167796
2020-03-05,-0.02509511515807028
2020-03-06,-0.02826718564309516
2020-03-09,-0.0677725886026217
2020-03-10,0.06838401060567945
2020-03-11,-0.04530226853722441
2020-03-12,-0.09483785800236444
2020-03-13,0.1421684149759037
2020-03-16,-0.14739018437093632
2020-03-17,0.08233654851105454
2020-03-18,-0.04209620801883707
2020-03-19,0.01645325390240182
2020-03-20,-0.037558622242674033
2020-03-23,-0.009974710065121295
2020-03-24,0.09089580089934945
2020-03-25,-0.009572454894976157
2020-03-26,0.06255073915986764
2020-03-27,-0.04106060586027083
2020-03-30,0.07034060771327155
2020-03-31,-0.0157273155086064
2020-04-01,-0.035508203900722624
2020-04-02,0.020708595335320767
2020-04-03,-0.009210336586398471
2020-04-06,0.07436764372099569
2020-04-07,-0.010770194883979678
2020-04-08,0.010031364097892403
2020-04-09,6.0768669827737654e-05
2020-04-13,0.0022402277994386655
2020-04-14,0.04948327076634862
2020-04-15,-0.010477572667176305
2020-04-16,0.03002072937085809
2020-04-17,0.008811679717702026
2020-04-20,-0.01982085892166685
2020-04-21,-0.04135731180965141
2020-04-22,0.033965137848343874
2020-04-23,-0.012102474363154259
2020-04-24,0.018259400697297812
2020-04-27,-0.00286463307918039
2020-04-28,-0.024360675825186306
2020-04-29,0.044873564834809754
2020-04-30,0.010031888813769152
2020-05-01,-0.025891148377818474
2020-05-04,0.02446010278281996
2020-05-05,0.01073576235028173
2020-05-06,0.009847431049185174
2020-05-07,0.005806847241793145
2020-05-08,0.0058822873180708335
2020-05-11,0.011154396323462379
2020-05-12,-0.022651671154759967
2020-05-13,-0.01512252157731686
2020-05-14,0.004339503259507715
2020-05-15,0.014568063628451311
2020-05-18,0.009554383902350638
2020-05-19,-0.006922114745811503
2020-05-20,0.013870864345419731
2020-05-21,-0.012011596097416755
2020-05-22,0.0004363466862900012
2020-05-26,-0.010571636634719273
2020-05-27,0.0013216647324805209
2020-05-28,-0.0022549943775369563
2020-05-29,0.010198558579978867
2020-06-01,-0.0022918815980700336
2020-06-02,0.011376525458920428
2020-06-03,0.002433659216980244
2020-06-04,-0.013163635928765682
2020-06-05,0.023398248206445427
2020-06-08,0.006196519170208914
2020-06-09,0.007644969325890871
2020-06-10,0.03709168204078783
2020-06-11,-0.053698358671396274
2020-06-12,0.007891744040581461
2020-06-15,0.006391818256725745
2020-06-16,0.024504934750969598
2020-06-17,0.003461447036514853
2020-06-18,0.01070841278752388
2020-06-19,-0.0059597947143287255
2020-06-22,0.02777366239183987
2020-06-23,0.0066809643355867365
2020-06-24,-0.020157523982778147
2020-06-25,0.012636500528415029
2020-06-26,-0.02001603280600106
2020-06-29,0.010747327241283244
2020-06-30,0.02554933809736215
2020-07-01,0.005847266186182809
2020-07-02,0.007620877510119417
2020-07-06,0.021526183082215544
2020-07-07,-0.011627769788313924
2020-07-08,0.021992830649547157
2020-07-09,0.007000785246735308
2020-07-10,-0.003032786467408455
2020-07-13,-0.030888825423577848
2020-07-14,0.006181596655291388
2020-07-15,-0.0014879897266392161
2020-07-16,-0.01980392435927758
2020-07-17,-0.005099966945952827
2020-07-20,0.04298121667261756
2020-07-21,-0.013468918964321452
2020-07-22,0.014371256576649394
2020-07-23,-0.043494617123137846
2020-07-24,-0.006122303956306863
2020-07-27,0.012667541226849988
2020-07-28,-0.00897721276018315
2020-07-29,0.01009804208181131
2020-07-30,-0.0007842331504128719
2020-07-31,0.00544393142781896
2020-08-03,0.05624121323964704
2020-08-04,-0.015008762832020905
2020-08-05,-0.0016411192155409982
2020-08-06,0.01601403508980659
2020-08-07,-0.01788758794678902
2020-08-10,-0.0199077031690158
2020-08-11,-0.02338543063356535
2020-08-12,0.028567117767395844
2020-08-13,-0.002342310347870802
2020-08-14,0.0009583639713413028
2020-08-17,0.006605940472786953
2020-08-18,0.005754340754468457
2020-08-19,-0.006066929380271202
2020-08-20,0.023271297430063065
2020-08-21,-0.0072701217092456805
2020-08-24,0.003145374370289389
2020-08-25,0.013009429228746372
2020-08-26,0.02161957495787359
2020-08-27,0.02455363806989541
2020-08-28,0.01028343010590027
