Date,Dividend
2015-07-01 00:00:00-04:00,0.66
2015-12-10 00:00:00-05:00,0.71
2016-07-07 00:00:00-04:00,0.71
2016-12-08 00:00:00-05:00,0.78
2017-07-06 00:00:00-04:00,0.78
2017-12-08 00:00:00-05:00,0.84
2018-07-06 00:00:00-04:00,0.84
2018-12-07 00:00:00-05:00,0.88
2019-07-05 00:00:00-04:00,0.88
2019-12-13 00:00:00-05:00,0.88
2023-12-08 00:00:00-05:00,0.3
2024-07-08 00:00:00-04:00,0.45
2024-12-16 00:00:00-05:00,0.5
