Date,Returns
,
2020-02-01,-0.11679777586937057
2020-03-01,-0.06755363250077728
2020-04-01,0.15537377010005926
2020-05-01,0.08216478062847976
2020-06-01,0.15049223204787698
2020-07-01,0.1651316711820663
2020-08-01,0.21437966741277226
2020-09-01,-0.10090808808806384
2020-10-01,-0.060012001833478434
2020-11-01,0.0936063152269011
2020-12-01,0.11649706751230893
2021-01-01,-0.005502150139185424
2021-02-01,-0.08108503448660787
2021-03-01,0.008844908917371441
2021-04-01,0.07621838440623074
2021-05-01,-0.052107703425165464
2021-06-01,0.10097602040130527
2021-07-01,0.06498267024308446
2021-08-01,0.040929635765826866
2021-09-01,-0.06664022148386983
2021-10-01,0.05865722007966112
2021-11-01,0.10347118930296895
2021-12-01,0.07579658428147851
2022-01-01,-0.015712237745808322
2022-02-01,-0.055269431312464645
2022-03-01,0.05882059566634412
2022-04-01,-0.09713073276634043
2022-05-01,-0.05588323342850743
2022-06-01,-0.08008015487340148
2022-07-01,0.18863366280631788
2022-08-01,-0.03255180909633648
2022-09-01,-0.11975606519369397
2022-10-01,0.1095514539709419
2022-11-01,-0.03462888998878155
2022-12-01,-0.12081647353762426
2023-01-01,0.11052100046520019
2023-02-01,0.021623177199129318
2023-03-01,0.1203565475273971
2023-04-01,0.02898722704064105
2023-05-01,0.04461345365629432
2023-06-01,0.09584387004445971
2023-07-01,0.012785378355810062
2023-08-01,-0.04367517708627633
2023-09-01,-0.08744760365782756
2023-10-01,-0.0025700769471658225
2023-11-01,0.11231474158068311
2023-12-01,0.014917906572121886
2024-01-01,-0.04222717296798306
2024-02-01,-0.01979390687933058
2024-03-01,-0.05007574303206097
2024-04-01,-0.006706260879567383
2024-05-01,0.12869127827533777
2024-06-01,0.09703859470915388
2024-07-01,0.05441087661334554
2024-08-01,0.03115994345461237
2024-09-01,0.01864495193275717
2024-10-01,-0.03042921025860501
2024-11-01,0.050551130447447745
2024-12-01,0.07812408482028776
