Date,Adj Close,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
2024-01-01,183.5010223388672,184.39999389648438,196.3800048828125,180.1699981689453,187.14999389648438,1187219300
2024-02-01,179.8688201904297,180.75,191.0500030517578,179.25,183.99000549316406,1161627000
2024-03-01,170.86175537109375,171.47999572753906,180.52999877929688,168.49000549316406,179.5500030517578,1432782800
2024-04-01,169.71591186523438,170.3300018310547,178.36000061035156,164.0800018310547,171.19000244140625,1245717000
2024-05-01,191.55686950683594,192.25,193.0,169.11000061035156,169.5800018310547,1336537700
2024-06-01,210.14527893066406,210.6199951171875,220.1999969482422,192.14999389648438,192.89999389648438,1723984500
2024-07-01,221.5794677734375,222.0800018310547,237.22999572753906,211.9199981689453,212.08999633789062,1153099800
2024-08-01,228.48387145996094,229.0,232.9199981689453,196.0,224.3699951171875,1122667000
2024-09-01,232.7439422607422,233.0,233.08999633789062,213.9199981689453,228.5500030517578,1232140300
2024-10-01,225.66172790527344,225.91000366210938,237.49000549316406,221.3300018310547,229.52000427246094,930736000
2024-11-01,237.06918334960938,237.3300018310547,237.80999755859375,219.7100067138672,220.97000122070312,891640600
2024-12-01,251.0399932861328,251.0399932861328,251.3800048828125,237.16000366210938,237.27000427246094,503382577
