Date,Returns
,
2019-12-30,0.0033896699411952724
2020-01-06,0.010194333873396966
2020-01-13,0.019381216234416465
2020-01-20,-0.009932568340939918
2020-01-27,-0.02099123957200455
2020-02-03,0.03260174590461995
2020-02-10,0.016211826962941656
2020-02-17,-0.012214729129866875
2020-02-24,-0.1133806005172171
2020-03-02,0.005335883044250478
2020-03-09,-0.0935244876010588
2020-03-16,-0.1450115134748745
2020-03-23,0.10496348601374006
2020-03-30,-0.020785144513942977
2020-04-06,0.12126135117290304
2020-04-13,0.03105555848027941
2020-04-20,-0.013163038360142987
2020-04-27,-0.0012302860355088985
2020-05-04,0.034485324864745426
2020-05-11,-0.02135567330894128
2020-05-18,0.03235234853699698
2020-05-25,0.030197057859580267
2020-06-01,0.04954424183962591
2020-06-08,-0.04754616849590443
2020-06-15,0.019023843254444284
2020-06-22,-0.02758186662046358
2020-06-29,0.03500421805364873
2020-07-06,0.02268693289392365
2020-07-13,0.012851020232513832
2020-07-20,-0.0024698334666357624
2020-07-27,0.017909225259926886
2020-08-03,0.024191858062069915
2020-08-10,0.006995164811344656
2020-08-17,0.007818784921211686
2020-08-24,0.032763918302168404
2020-08-31,-0.022753465097606673
2020-09-07,-0.024903321058321937
2020-09-14,-0.0064497569518805475
2020-09-21,-0.00563928251493695
2020-09-28,0.011342636439593878
2020-10-05,0.04309512096954515
2020-10-12,0.0012869074848569362
2020-10-19,-0.004200649202361961
2020-10-26,-0.05613100900554846
2020-11-02,0.07314369722724123
2020-11-09,0.022564267080015243
2020-11-16,-0.007659525341116358
2020-11-23,0.023431349346745733
2020-11-30,0.0169689508093811
2020-12-07,-0.0095938647039987
2020-12-14,0.012152850584553176
2020-12-21,-0.004344850386631682
2020-12-28,0.017500403674763465
2021-01-04,0.01958177683638529
2021-01-11,-0.014411480605525218
2021-01-18,0.018907263174616773
2021-01-25,-0.033305068764079904
2021-02-01,0.04779837855186275
2021-02-08,0.012933505455382743
2021-02-15,-0.0068134191183890636
2021-02-22,-0.02509819357422438
2021-03-01,0.0088674388579002
2021-03-08,0.027417754908221514
2021-03-15,-0.00863797548728773
2021-03-22,0.01330648276866886
2021-03-29,0.014967123702075869
2021-04-05,0.027406707466795188
2021-04-12,0.014223434665357804
2021-04-19,-0.0015640232422048372
2021-04-26,0.001409665824939621
2021-05-03,0.011627634007194576
2021-05-10,-0.013091592993186518
2021-05-17,-0.0038649596905605543
2021-05-24,0.012215937716983705
2021-05-31,0.006137772698884714
2021-06-07,0.004092778053996993
2021-06-14,-0.018636676073062075
2021-06-21,0.027898283816774727
2021-06-28,0.01334175820471506
2021-07-05,0.007468227798309135
2021-07-12,-0.009391350538678234
2021-07-19,0.019591236796068445
2021-07-26,-0.003041659842684785
2021-08-02,0.009202285364512619
2021-08-09,0.0076193853784864984
2021-08-16,-0.005732348247962649
2021-08-23,0.015333517459064971
2021-08-30,0.006548085641091772
2021-09-06,-0.0167798529650105
2021-09-13,-0.006103936389516007
2021-09-20,0.005846622920437028
2021-09-27,-0.0252528295519433
2021-10-04,0.011750768623247643
2021-10-11,0.018485131858573478
2021-10-18,0.016246521996094554
2021-10-25,0.013370386890607211
2021-11-01,0.020252962108387562
2021-11-08,-0.0026466010499762715
2021-11-15,0.0034452483664120237
2021-11-22,-0.020670504121285793
2021-11-29,-0.012554986687453584
2021-12-06,0.0384079696273556
2021-12-13,-0.019544797843058848
2021-12-20,0.019439604014697354
2021-12-27,0.012782190344245326
2022-01-03,-0.018278904698336262
2022-01-10,-0.0031730292957043993
2022-01-17,-0.05743988286107515
2022-01-24,0.00886525160241014
2022-01-31,0.015409017347076004
2022-02-07,-0.018374950394424827
2022-02-14,-0.01395250986150276
2022-02-21,0.007713478435579901
2022-02-28,-0.012500896073922019
2022-03-07,-0.02813689490630711
2022-03-14,0.061451058300298955
2022-03-21,0.015199220077244169
2022-03-28,0.0038502113712846064
2022-04-04,-0.011505567614680579
2022-04-11,-0.02189394058362437
2022-04-18,-0.026979959671790565
2022-04-25,-0.033090005898740116
2022-05-02,-0.0015842921876640936
2022-05-09,-0.023644640967636854
2022-05-16,-0.030176613788343687
2022-05-23,0.06642084172043194
2022-05-30,-0.011419582306476439
2022-06-06,-0.05078950205103694
2022-06-13,-0.05671686247022778
2022-06-20,0.06524638086363388
2022-06-27,-0.026555826157086848
2022-07-04,0.023724902326459407
2022-07-11,-0.009180403980724838
2022-07-18,0.02610082137474845
2022-07-25,0.042780649244447355
2022-08-01,0.0031415950092055223
2022-08-08,0.03339663931751358
2022-08-15,-0.011587420677573679
2022-08-22,-0.04021962543950286
2022-08-29,-0.03237489215079048
2022-09-05,0.03689825079787257
2022-09-12,-0.04786610760820631
2022-09-19,-0.045607943762863146
2022-09-26,-0.03336006036593908
2022-10-03,0.019788118340671845
2022-10-10,-0.014040090924354987
2022-10-17,0.04640203087225503
2022-10-24,0.03919740380259751
2022-10-31,-0.0323463641111672
2022-11-07,0.058816527646181394
2022-11-14,-0.005926255184675822
2022-11-21,0.015961909407010477
2022-11-28,0.011357436013002209
2022-12-05,-0.03336903295604943
2022-12-12,-0.021188331674172556
2022-12-19,-0.005623681747481402
2022-12-26,0.003275447154471589
2023-01-02,0.01494296986619248
2023-01-09,0.02703378943956558
2023-01-16,-0.006880897247109274
2023-01-23,0.025184991828287817
2023-01-30,0.016037809691589633
2023-02-06,-0.010109584908464142
2023-02-13,-0.002133342000960159
2023-02-20,-0.02669541045997481
2023-02-27,0.01935588043353942
2023-03-06,-0.0447103474909486
2023-03-13,0.014661061439979584
